Timestamp,FPS,Confidence
17:08:09.555,31,0.9129
17:08:09.601,21,0.9149
17:08:09.652,20,0.9117
17:08:09.682,30,0.9115
17:08:09.730,21,0.8973
17:08:09.777,20,0.9074
17:08:09.808,31,0.9224
17:08:09.860,20,0.9274
17:08:09.904,20,0.9003
17:08:09.941,30,0.9323
17:08:09.989,20,0.9284
17:08:10.035,21,0.9178
17:08:10.065,31,0.9353
17:08:10.113,20,0.9370
17:08:10.161,20,0.9365
17:08:10.210,20,0.9279
17:08:10.241,32,0.9367
17:08:10.291,20,0.9380
17:08:10.337,20,0.9453
17:08:10.371,31,0.9447
17:08:10.418,20,0.9444
17:08:10.467,20,0.9364
17:08:10.501,31,0.9479
17:08:10.547,20,0.9489
17:08:10.593,20,0.9475
17:08:10.626,31,0.9383
17:08:10.673,20,0.9478
17:08:10.721,21,0.9449
17:08:10.754,30,0.9464
17:08:10.801,21,0.9444
17:08:10.849,20,0.9411
17:08:10.883,31,0.9404
17:08:10.931,20,0.9404
17:08:10.978,20,0.9362
17:08:11.011,31,0.9389
17:08:11.057,20,0.9317
17:08:11.105,21,0.9459
17:08:11.154,20,0.9445
17:08:11.188,31,0.9471
17:08:11.232,20,0.9416
17:08:11.281,20,0.9481
17:08:11.314,30,0.9495
17:08:11.362,20,0.9463
17:08:11.411,20,0.9374
17:08:11.441,31,0.9419
17:08:11.493,21,0.9339
17:08:11.540,20,0.9306
17:08:11.572,30,0.9268
17:08:11.617,21,0.9217
17:08:11.666,20,0.9180
17:08:11.697,31,0.9221
17:08:11.745,21,0.9209
17:08:11.793,20,0.9260
17:08:11.825,30,0.9302
17:08:11.875,20,0.9379
17:08:11.921,20,0.9341
17:08:11.970,20,0.9345
17:08:12.004,30,0.9301
17:08:12.051,21,0.9252
17:08:12.098,20,0.9234
17:08:12.129,31,0.9268
17:08:12.177,20,0.9224
17:08:12.225,20,0.9240
17:08:12.259,31,0.9279
17:08:12.306,20,0.9199
17:08:12.354,21,0.9048
17:08:12.386,31,0.9158
17:08:12.433,20,0.8976
17:08:12.483,20,0.8966
17:08:12.515,32,0.9058
17:08:12.563,21,0.8973
17:08:12.614,20,0.8970
17:08:12.643,30,0.9027
17:08:12.691,21,0.8992
17:08:12.739,20,0.8882
17:08:12.788,20,0.8668
17:08:12.819,30,0.8708
17:08:12.866,21,0.8803
17:08:12.914,20,0.8350
17:08:12.946,31,0.7983
17:08:12.996,20,0.8272
17:08:13.044,20,0.8046
17:08:13.075,31,0.7804
17:08:13.122,20,0.7045
17:08:13.169,21,0.7058
17:08:13.203,31,0.6342
17:08:13.250,20,0.7251
17:08:13.298,20,0.8062
17:08:13.330,31,0.7653
17:08:13.379,20,0.7690
17:08:13.427,20,0.7659
17:08:13.475,20,0.7299
17:08:13.507,31,0.6798
17:08:13.555,20,0.7770
17:08:13.601,21,0.8186
17:08:13.635,30,0.7124
17:08:13.683,21,0.7311
17:08:13.731,20,0.7426
17:08:13.761,31,0.7274
17:08:13.809,21,0.6519
17:08:13.857,20,0.7044
17:08:13.892,31,0.6758
17:08:13.938,20,0.6291
17:08:14.163,20,0.5931
17:08:14.195,31,0.7551
17:08:14.241,21,0.5743
17:08:14.289,20,0.6491
17:08:14.324,31,0.6546
17:08:14.419,20,0.6196
17:08:14.450,31,0.7329
17:08:14.498,20,0.6065
17:08:14.551,21,0.5315
17:08:14.582,30,0.6720
17:08:14.630,20,0.7482
17:08:14.679,21,0.6513
17:08:14.707,32,0.6101
17:08:14.754,20,0.7210
17:08:14.802,20,0.7274
17:08:14.834,31,0.6797
17:08:14.882,20,0.7139
17:08:14.929,20,0.7136
17:08:14.962,31,0.7036
17:08:15.011,20,0.7542
17:08:15.059,21,0.7397
17:08:15.107,20,0.7217
17:08:15.138,31,0.7361
17:08:15.187,20,0.7524
17:08:15.234,20,0.6888
17:08:15.269,31,0.6840
17:08:15.317,20,0.7340
17:08:15.362,20,0.6585
17:08:15.394,31,0.6669
17:08:15.441,20,0.6761
17:08:15.490,21,0.6659
17:08:15.570,20,0.7402
17:08:15.620,20,0.5877
17:08:15.650,31,0.6153
17:08:15.699,20,0.7589
17:08:15.747,20,0.7492
17:08:15.781,31,0.6799
17:08:15.828,20,0.6818
17:08:15.923,20,0.6493
17:08:15.955,31,0.6217
17:08:16.004,20,0.6971
17:08:16.052,20,0.6623
17:08:16.088,31,0.5101
17:08:16.132,20,0.6764
17:08:16.179,20,0.5945
17:08:16.216,30,0.6624
